colonia,alcaldia,casos_totales,longitude,latitude
ALDANA,AZCAPOTZALCO,8,  -99.1499968041,19.4707366167 
ANGEL ZIMBRON,AZCAPOTZALCO,6,  -99.1891178561,19.4677940841 
ARENAL,AZCAPOTZALCO,9,  -99.1520094444,19.4652942835 
CENTRO DE AZCAPOTZALCO,AZCAPOTZALCO,11,  -99.1863123775,19.4811765098 
CLAVERIA,AZCAPOTZALCO,8,  -99.1818671607,19.4660515311 
COLTONGO,AZCAPOTZALCO,8,  -99.1528844589,19.4825341796 
DEL GAS,AZCAPOTZALCO,11,  -99.157822515,19.4703443076 
DEL RECREO,AZCAPOTZALCO,11,  -99.1841919942,19.472777425 
EL ROSARIO A (U HAB),AZCAPOTZALCO,7,  -99.2075383458,19.5109971625 
EL ROSARIO B (U HAB),AZCAPOTZALCO,8,  -99.2014627166,19.5122894348 
EL ROSARIO C (U HAB),AZCAPOTZALCO,20,  -99.2024080944,19.5061582927 
FERRERIA,AZCAPOTZALCO,7,  -99.1745777234,19.5032875621 
HOGAR Y SEGURIDAD/NUEVA SANTA MARIA,AZCAPOTZALCO,8,  -99.1684253459,19.4685750161 
LIBERACION,AZCAPOTZALCO,7,  -99.1523647869,19.4707750701 
OBRERO POPULAR,AZCAPOTZALCO,7,  -99.1746635362,19.4639502989 
PASTEROS,AZCAPOTZALCO,16,  -99.1957966932,19.4944056739 
PLENITUD,AZCAPOTZALCO,9,  -99.1949966011,19.4729183065 
PRADOS DEL ROSARIO,AZCAPOTZALCO,6,  -99.20943293,19.5035717574 
PROVIDENCIA,AZCAPOTZALCO,7,  -99.2117642234,19.4906621044 
REYNOSA TAMAULIPAS,AZCAPOTZALCO,27,  -99.187564161,19.4941511372 
SAN  MIGUEL AMANTLA (PBLO),AZCAPOTZALCO,16,  -99.2041463318,19.4753364825 
SAN ALVARO,AZCAPOTZALCO,12,  -99.1837633342,19.4614788407 
SAN ANDRES (BARR),AZCAPOTZALCO,11,  -99.1802886139,19.4921465056 
SAN ANDRES (PBLO),AZCAPOTZALCO,9,  -99.1841577999,19.4932654985 
SAN JUAN TLIHUACA (PBLO),AZCAPOTZALCO,6,  -99.2045938841,19.48939757 
SAN MARCOS (BARR),AZCAPOTZALCO,12,  -99.1832352016,19.4884891041 
SAN MARTIN XOCHINAHUAC (PBLO),AZCAPOTZALCO,9,  -99.1911745201,19.5030010543 
SAN PABLO 396-CONJ HAB SAN PABLO (U HAB),AZCAPOTZALCO,6,  -99.1856873509,19.5010241784 
SAN PEDRO XALPA (PBLO),AZCAPOTZALCO,6,  -99.2098621504,19.4840383721 
SAN SEBASTIAN,AZCAPOTZALCO,12,  -99.1772035619,19.4805914 
SANTA BARBARA (PBLO),AZCAPOTZALCO,11,  -99.1788833818,19.4998774489 
SANTA MARIA MALINALCO (PBLO),AZCAPOTZALCO,12,  -99.1819027464,19.4781258231 
SANTIAGO AHUIZOTLA (PBLO),AZCAPOTZALCO,15,  -99.210669583,19.476881606 
SANTO TOMAS,AZCAPOTZALCO,12,  -99.177047766,19.4858838616 
TEZOZOMOC,AZCAPOTZALCO,19,  -99.1981532439,19.489479925 
TLATILCO,AZCAPOTZALCO,6,  -99.162529277,19.4611990757 
TRABAJADORES DEL HIERRO,AZCAPOTZALCO,12,  -99.1510764372,19.4783717534 
SAN PEDRO XALPA (AMPL) I,AZCAPOTZALCO,20,  -99.2163596006,19.4806755242 
PRO HOGAR I,AZCAPOTZALCO,6,  -99.1504313587,19.4750721185 
PRO HOGAR II,AZCAPOTZALCO,24,  -99.1559695345,19.4763536374 
AMPLIACION CANDELARIA,COYOACAN,10,  -99.1500596134,19.328214086 
AVANTE,COYOACAN,11,  -99.1346491977,19.3282199085 
CAFETALES I (RDCIAL),COYOACAN,6,  -99.1096016534,19.3130310039 
CAMPESTRE CHURUBUSCO,COYOACAN,7,  -99.1358655439,19.3454092595 
CARMEN SERDAN,COYOACAN,10,  -99.108305878,19.3197115876 
CTM V CULHUACAN (U HAB),COYOACAN,17,  -99.1134928561,19.3309863021 
CTM VI CULHUACAN (U HAB),COYOACAN,14,  -99.1179312347,19.323535271 
CTM VII CULHUACAN (U HAB),COYOACAN,14,  -99.1088011674,19.324889164 
CTM VIII CULHUACAN (U HAB),COYOACAN,13,  -99.1029308537,19.3161921597 
DE LA CANDELARIA (PBLO),COYOACAN,7,  -99.1490773948,19.3314227506 
DEL CARMEN,COYOACAN,16,  -99.163808041,19.3541145678 
EDUCACION,COYOACAN,12,  -99.1335345854,19.3362137705 
EMILIANO ZAPATA (U HAB),COYOACAN,6,  -99.1103504105,19.317543698 
HERMOSILLO,COYOACAN,7,  -99.1285180895,19.3477290785 
LA MAGDALENA CULHUACAN (BARR),COYOACAN,14,  -99.1187266027,19.3421501931 
LOS REYES (PBLO),COYOACAN,26,  -99.1553487557,19.3361455883 
PILOTO CULHUACAN (U HAB),COYOACAN,6,  -99.1117966617,19.3222913755 
SAN FRANCISCO CULHUACAN (PBLO),COYOACAN,15,  -99.1182479778,19.3355619401 
AMPLIACION SAN FRANCISCO CULHUACAN (EJ),COYOACAN,6,  -99.1257074664,19.335301831 
SAN PABLO TEPETLAPA (PBLO),COYOACAN,9,  -99.1423243912,19.3234555103 
SANTA CATARINA (BARR),COYOACAN,6,  -99.173563485,19.348314886 
